D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10001|2004|Ford|Explorer|SUV|Red|182451|3495.00
10002|2012|Honda|Civic|Sedan|Gray|112340|6995.00
10003|2018|Toyota|Camry|Sedan|Black|85421|14995.00
10004|2016|Chevrolet|Silverado|Truck|White|134221|18995.00
10005|2010|Nissan|Altima|Sedan|Blue|154332|5495.00
10006|2020|Kia|Sportage|SUV|Silver|45221|21995.00
10007|2017|Hyundai|Elantra|Sedan|Gray|78215|11995.00
10008|2015|Jeep|Cherokee|SUV|Green|124876|13995.00
10009|2008|Dodge|Ram 1500|Truck|Black|201245|4995.00
10010|2019|Subaru|Outback|SUV|Blue|62341|22995.00
10011|2014|Mazda|CX-5|SUV|White|109842|12995.00
10012|2013|Volkswagen|Jetta|Sedan|Silver|118432|8995.00
10013|2011|Ford|Fusion|Sedan|Red|142211|6495.00
10014|2021|Toyota|RAV4|SUV|Gray|28422|28995.00
10015|2016|Honda|CR-V|SUV|Blue|102331|16995.00
10016|2009|Chevrolet|Malibu|Sedan|Tan|165443|4495.00
10017|2018|Ram|1500|Truck|Black|75421|27995.00
10018|2015|Nissan|Rogue|SUV|White|114523|12995.00
10019|2007|Toyota|Corolla|Sedan|Silver|221435|3995.00
10020|2022|Hyundai|Tucson|SUV|Gray|18332|30995.00
10021|2013|Kia|Soul|SUV|Green|132445|8995.00
10022|2017|Ford|Escape|SUV|Blue|98231|15995.00
10023|2011|Chevrolet|Impala|Sedan|White|176543|5995.00
10024|2019|Honda|Accord|Sedan|Black|52341|24995.00
10025|2014|Jeep|Wrangler|SUV|Orange|128765|21995.00
10026|2010|Subaru|Forester|SUV|Green|158992|7995.00
10027|2018|Toyota|Tacoma|Truck|White|67432|31995.00
10028|2012|Mazda|3|Sedan|Blue|137654|7495.00
10029|2016|Ford|F-150|Truck|Gray|118234|25995.00
10030|2020|Chevrolet|Equinox|SUV|Silver|47221|21995.00
10031|2005|Honda|Pilot|SUV|Black|242221|2995.00
10032|2013|Nissan|Sentra|Sedan|Gray|122345|6995.00
10033|2021|Kia|Sorento|SUV|White|29211|32995.00
10034|2015|Toyota|Highlander|SUV|Blue|113421|20995.00
10035|2017|Chevrolet|Colorado|Truck|Red|89234|23995.00
10036|2009|Ford|Focus|Sedan|Silver|171232|4495.00
10037|2018|Hyundai|Santa Fe|SUV|Black|73452|19995.00
10038|2011|Volkswagen|Passat|Sedan|White|146211|5995.00
10039|2016|Ram|2500|Truck|Blue|128998|28995.00
10040|2014|Honda|Odyssey|Van|Gray|133421|13995.00
10041|2019|Toyota|Prius|Sedan|Green|58221|23995.00
10042|2012|Ford|Edge|SUV|Black|145321|9995.00
10043|2015|Chevrolet|Traverse|SUV|Silver|119452|14995.00
10044|2022|Subaru|Crosstrek|SUV|Orange|15432|31995.00
10045|2017|Nissan|Frontier|Truck|White|87451|22995.00
10046|2008|Hyundai|Sonata|Sedan|Blue|198654|3995.00
10047|2010|Jeep|Liberty|SUV|Gray|162443|6495.00
10048|2018|Kia|Optima|Sedan|Red|69452|16995.00
10049|2013|Toyota|Sienna|Van|Silver|138421|11995.00
10050|2016|Ford|Mustang|Coupe|Yellow|84322|23995.00
10051|2020|Honda|Passport|SUV|Black|40211|30995.00
10052|2011|Chevrolet|Tahoe|SUV|White|182654|12995.00
10053|2019|Mazda|CX-9|SUV|Blue|56211|26995.00
10054|2015|Volkswagen|Tiguan|SUV|Gray|123432|13995.00
10055|2007|Ford|Ranger|Truck|Red|214876|4995.00
10056|2021|Toyota|4Runner|SUV|White|31421|39995.00
10057|2014|Honda|Fit|Hatchback|Silver|117543|9995.00
10058|2017|Chevrolet|Cruze|Sedan|Blue|92342|11995.00
10059|2010|Subaru|Legacy|Sedan|Gray|153222|6995.00
10060|2018|Ford|Expedition|SUV|Black|81234|34995.00
10061|2013|Nissan|Murano|SUV|White|141221|10995.00
